Date,close,high,low,open,volume,symbol,rsi,macd,macd_signal,macd_hist,ema_20,ema_50,target_date,future_return,signal
2019-11-21,283.76513671875,284.4419411061812,282.96033427281077,284.3321965867627,54664700,SPY,66.52949566562432,2.9399916325488675,2.986284439751163,-0.04629280720229545,281.24678493149656,276.56012451959526,2019-11-29,0.013020712344984364,0
2019-11-22,284.3960876464844,284.6521673981116,283.3809233166549,284.5149868009184,44850200,SPY,68.23025853878639,2.834122409106442,2.955852033622219,-0.12172962451577707,281.54671852340016,276.86741719123796,2019-12-02,0.002187015879553167,0
2019-11-25,286.6003112792969,286.6003112792969,285.3290667734896,285.3290667734896,48647200,SPY,73.32902536337288,2.8947142485242807,2.9436244766026314,-0.04891022807835066,282.0280130715808,277.24909931233833,2019-12-03,-0.012190193944003003,0
2019-11-26,287.2496337890625,287.43255990877515,286.3167775639853,286.63688431817883,37569000,SPY,74.62117403640846,2.9609960978668255,2.9470988008554704,0.013897297011355114,282.5253102827695,277.641277134955,2019-12-04,-0.008341800710452207,0
2019-11-27,288.53009033203125,288.53009033203125,287.5148977117704,287.7343867494008,44444600,SPY,76.98874484179282,3.0813274579262497,2.9739445322696265,0.10738292565662322,283.09719409698494,278.0682894171933,2019-12-05,-0.010967624702339251,0
2019-11-29,287.4599609375,288.2099188619037,287.2313172710796,287.9629658393833,36592700,SPY,71.02525627298355,3.0551228742731382,2.990180200670329,0.06494267360280936,283.5126957008435,278.43659026112687,2019-12-06,0.0017816254981162238,0
2019-12-02,285.01806640625,287.7800718894544,284.58821519062707,287.71604496336914,75767800,SPY,59.66763751529088,2.8049809971315653,2.953140359962576,-0.14815936283101072,283.6560643394536,278.6946873648572,2019-12-09,0.007187451282042456,0
2019-12-03,283.1065979003906,283.18893418782886,280.8933426728387,282.2834862214614,73941700,SPY,52.57973410446246,2.424553480417785,2.847422984053618,-0.422869503635833,283.6037342024,278.8677034642899,2019-12-10,0.012857399564097038,0
2019-12-04,284.85345458984375,285.45707729693845,283.81085384894016,284.15839673277713,49080000,SPY,57.54336349466606,2.2382178857931194,2.7255819644015187,-0.48736407860839925,283.72275519168033,279.1024388025469,2019-12-11,0.009503777448613526,0
2019-12-05,285.3656005859375,285.5759628241466,284.04861072629393,285.5576813771482,40709000,SPY,58.901618365277955,2.107576654527179,2.601980902426651,-0.4944042478994719,283.87921665780004,279.34805299013084,2019-12-12,0.016377103282478878,0
2019-12-06,287.97210693359375,288.3745220003597,287.27702128907026,287.28617596668846,48927000,SPY,65.03282461568783,2.189130878225569,2.5194108975864347,-0.3302800193608655,284.26901573168516,279.6862511839921,2019-12-13,0.007781040601847922,0
2019-12-09,287.0666198730469,288.2555554401375,286.99343829041595,287.5787793090794,34838500,SPY,61.59506677990328,2.1558466910713037,2.4466980562834086,-0.290851365212105,284.5354542213387,279.9756774070923,2019-12-16,0.017905196128802814,0
2019-12-10,286.7466125488281,287.67946872095257,286.0881176300916,287.0118470341735,52649800,SPY,60.38027977506163,2.079673633208529,2.3732931716684327,-0.29361953845990385,284.74604072871864,280.24120427539566,2019-12-17,0.019264455418958937,0
2019-12-11,287.5606384277344,287.8167182709219,286.6643450212732,287.2039408368966,53429100,SPY,62.411123604986834,2.0612304399443815,2.3108806253236227,-0.24965018537924122,285.01409765243443,280.5282409088207,2019-12-18,0.016442587527448094,0
2019-12-12,290.0390625,290.8255832999574,287.331929357691,287.56969978689034,96389600,SPY,67.81963958624299,2.220999881870341,2.2929044766329665,-0.07190459476262534,285.492665733155,280.9012143045532,2019-12-19,0.011887836700336774,0
2019-12-13,290.21282958984375,291.44751092799373,289.02386581915744,289.8012598402595,81503900,SPY,68.16549412480765,2.334726592747188,2.301268899855811,0.03345769289137701,285.94220514807773,281.2663756882901,2019-12-20,0.015715332165262108,0
2019-12-16,292.20660400390625,292.8010719510579,290.1488110179632,291.95052421541305,82749700,SPY,71.89748776444814,2.556269677402213,2.352269055365092,0.2040006220371211,286.53881456291856,281.6954042496868,2019-12-23,0.01032634271698063,0
2019-12-17,292.2706298828125,292.8925339511272,292.18832151294174,292.59073659493447,61097700,SPY,72.01096140187767,2.7058195183705607,2.4229791479661857,0.28284037040437493,287.0847017362418,282.11011898039766,2019-12-24,0.01013655038819583,0
2019-12-18,292.28887939453125,292.89250195157234,292.23400715394575,292.6638583122659,48133000,SPY,72.04560956704634,2.793608448629641,2.497105008098877,0.29650344053076383,287.580337703698,282.50928605546176,2019-12-26,0.015450229188109565,0
2019-12-19,293.48699951171875,293.5601811136339,292.22488202941423,292.4809618149106,85310500,SPY,74.29537541611903,2.9261294893931336,2.5829099043577286,0.34321958503540495,288.1428769235095,282.9397846223738,2019-12-27,0.0110544035540463,0
2019-12-20,294.77362060546875,295.9132595490715,293.54206896206824,294.5254535112328,147142100,SPY,76.48406667707721,3.099246751152066,2.6861772737165963,0.4130694774354695,288.77437632179135,283.4038566217109,2019-12-30,0.001091297757088494,0
2019-12-23,295.2240295410156,295.6192233954918,295.0769747944565,295.56408137151027,52990000,SPY,77.21546575368617,3.2354909396831317,2.7960400069099034,0.43945093277322833,289.3886290093365,283.8673928146248,2019-12-31,0.001992267648800672,0
2019-12-24,295.2332458496094,295.4997562979168,294.9299366528091,295.4538139579539,20270000,SPY,77.23107095892287,3.3060984745205246,2.8980517004320276,0.408046774088497,289.9452591846006,284.31311254148693,2020-01-02,0.011331372723933919,0
